major_heading,major_heading_Thai,activity_code,met_value,activity_description,activity_description_Thai,target_group
Fishing & Hunting,การตกปลาและการล่าสัตว์,4030,2,"Fishing from boat or canoe, sitting",ตกปลาจากเรือหรือเรือแคนู ขณะนั่ง,adult
Fishing & Hunting,การตกปลาและการล่าสัตว์,4040,3.5,"Fishing from river bank, standing (Taylor Code 660)",การตกปลาจากริมฝั่งแม่น้ำ โดยยืนตก (รหัสเทย์เลอร์ 660),adult
Fishing & Hunting,การตกปลาและการล่าสัตว์,4050,6,"Fishing in stream, in waders (Taylor Code 670)",ตกปลาในลำธารโดยสวมรองเท้าบูทกันน้ำ (รหัสเทย์เลอร์ 670),adult
Fishing & Hunting,การตกปลาและการล่าสัตว์,4060,2,"Fishing, ice, sitting",การตกปลา น้ำแข็ง การนั่ง,adult
Fishing & Hunting,การตกปลาและการล่าสัตว์,4061,1.8,"Fishing, jig or line, standing, general",การตกปลาแบบยืนตก โดยใช้เหยื่อล่อหรือสายเบ็ดทั่วไป,adult
Fishing & Hunting,การตกปลาและการล่าสัตว์,4062,3.5,"Fishing, dip net, setting net and retrieving fish, general","การตกปลา, การใช้แหตักปลา, การวางแหและการดึงแหขึ้น, ทั่วไป",adult
Fishing & Hunting,การตกปลาและการล่าสัตว์,4063,3.8,"Fishing, set net, setting net and retrieving fish, general","การตกปลา, การวางอวน, การวางอวนและการดึงปลาขึ้นจากอวน, ทั่วไป",adult
Fishing & Hunting,การตกปลาและการล่าสัตว์,4064,3,"Fishing, fishing wheel, setting net and retrieving fish, general","การตกปลา, วงล้อตกปลา, การวางอวนและการดึงปลาขึ้นฝั่ง, ทั่วไป",adult
Fishing & Hunting,การตกปลาและการล่าสัตว์,4065,2.3,"Fishing with a spear, standing",การตกปลาด้วยหอก ยืน,adult
Fishing & Hunting,การตกปลาและการล่าสัตว์,4070,2.5,"Hunting, bow and arrow or crossbow",การล่าสัตว์ด้วยธนูและลูกศร หรือหน้าไม้,adult
Fishing & Hunting,การตกปลาและการล่าสัตว์,4080,6,"Hunting, deer, elk, large game (Taylor Code 170)","การล่าสัตว์, กวาง, กวางเอลก์, สัตว์ป่าขนาดใหญ่ (รหัสเทย์เลอร์ 170)",adult
Fishing & Hunting,การตกปลาและการล่าสัตว์,4081,9.8,"Hunting large game, dragging carcass",การล่าสัตว์ใหญ่ การลากซากสัตว์,adult
Fishing & Hunting,การตกปลาและการล่าสัตว์,4083,4,Hunting large marine animals,การล่าสัตว์ทะเลขนาดใหญ่,adult
Fishing & Hunting,การตกปลาและการล่าสัตว์,4085,2.5,"Hunting, large game from a hunting stand, limited walking","การล่าสัตว์, สัตว์ใหญ่จากหอสังเกตการณ์ล่าสัตว์, การเดินในระยะทางจำกัด",adult
Fishing & Hunting,การตกปลาและการล่าสัตว์,4086,2,"Hunting large game from a car, plane, or boat",การล่าสัตว์ใหญ่จากรถยนต์ เครื่องบิน หรือเรือ,adult
Fishing & Hunting,การตกปลาและการล่าสัตว์,4090,2.5,"Hunting, duck, wading","การล่าสัตว์, เป็ด, ลุยน้ำ",adult
Fishing & Hunting,การตกปลาและการล่าสัตว์,4095,3,"Hunting flying fox, squirrel",การล่าค้างคาวผลไม้และกระรอก,adult
Fishing & Hunting,การตกปลาและการล่าสัตว์,4100,5,"Hunting, general",การล่าสัตว์ทั่วไป,adult
Fishing & Hunting,การตกปลาและการล่าสัตว์,4110,6,"Hunting, pheasants or grouse (Taylor Code 680)",การล่าสัตว์ เช่น นกกระทาหรือไก่ป่า (รหัสเทย์เลอร์ 680),adult
Fishing & Hunting,การตกปลาและการล่าสัตว์,4115,3.3,Hunting birds,นกที่ล่ามา,adult
Fishing & Hunting,การตกปลาและการล่าสัตว์,4120,5,"Hunting, rabbit, squirrel, prairie chick, raccoon, small game (Taylor Code 690)","การล่าสัตว์, กระต่าย, กระรอก, ลูกไก่ป่า, แรคคูน, สัตว์เล็ก (รหัสเทย์เลอร์ 690)",adult
Fishing & Hunting,การตกปลาและการล่าสัตว์,4123,3.3,"Hunting pigs, wild",การล่าหมูป่า,adult
Fishing & Hunting,การตกปลาและการล่าสัตว์,4124,2,"Trapping game, general",เกมดักจับสัตว์ทั่วไป,adult
Fishing & Hunting,การตกปลาและการล่าสัตว์,4125,9.5,Hunting - hiking with hunting gear,การล่าสัตว์ - การเดินป่าพร้อมอุปกรณ์ล่าสัตว์,adult
Fishing & Hunting,การตกปลาและการล่าสัตว์,4130,2.5,"Pistol shooting or trap shooting, standing",การยิงปืนพกหรือการยิงเป้าบินแบบยืน,adult
Fishing & Hunting,การตกปลาและการล่าสัตว์,4140,2.3,"Rifle exercises, shooting, lying down",การฝึกใช้ปืนไรเฟิล การยิงปืนในท่านอน,adult
Fishing & Hunting,การตกปลาและการล่าสัตว์,4145,2.5,"Rifle exercises, shooting, kneeling or standing",การฝึกยิงปืน การยิงในท่าคุกเข่าหรือยืน,adult
Fishing & Hunting,การตกปลาและการล่าสัตว์,4150,2.8,"Foraging, 0-9.9kg backpack","การหาอาหารตามธรรมชาติ, กระเป๋าเป้สะพายหลังน้ำหนัก 0-9.9 กก.",adult
Fishing & Hunting,การตกปลาและการล่าสัตว์,4152,3,"Foraging, 10-15kg backpack",การหาอาหารตามธรรมชาติ โดยแบกเป้หนัก 10-15 กิโลกรัม,adult
Fishing & Hunting,การตกปลาและการล่าสัตว์,4160,1,"Sitting in boat, passenger",นั่งอยู่บนเรือ ผู้โดยสาร,adult
Fishing & Hunting,การตกปลาและการล่าสัตว์,4164,1.5,Standing in boat,ยืนอยู่ในเรือ,adult
Fishing & Hunting,การตกปลาและการล่าสัตว์,4168,3.3,"Activities in a boat, lifting, lowering",กิจกรรมต่างๆ บนเรือ เช่น การยก การลดระดับ,adult
Home Activities,กิจกรรมภายในบ้าน,5010,3.3,"Cleaning, sweeping carpet or floors, general",การทำความสะอาดทั่วไป เช่น การกวาดพรมหรือพื้น,adult
Home Activities,กิจกรรมภายในบ้าน,5011,2.3,"Cleaning, sweeping, slow, light effort",การทำความสะอาด การกวาดพื้น ช้าๆ ใช้แรงน้อย,adult
Home Activities,กิจกรรมภายในบ้าน,5012,3.8,"Cleaning, sweeping, fast, moderate effort","การทำความสะอาด, การกวาด, รวดเร็ว, ใช้แรงปานกลาง",adult
Home Activities,กิจกรรมภายในบ้าน,5020,3.5,"Cleaning  heavy or major (e.g., wash car, clean garage), moderate effort",การทำความสะอาดครั้งใหญ่หรือสำคัญ (เช่น ล้างรถ ทำความสะอาดโรงรถ) ใช้แรงปานกลาง,adult
Home Activities,กิจกรรมภายในบ้าน,5021,3.5,"Cleaning, mopping, standing, moderate effort","การทำความสะอาด, การถูพื้น, การยืน, ออกแรงปานกลาง",adult
Home Activities,กิจกรรมภายในบ้าน,5022,3.3,"Cleaning windows, washing windows, general",การทำความสะอาดหน้าต่าง การล้างหน้าต่าง ทั่วไป,adult
Home Activities,กิจกรรมภายในบ้าน,5023,2.5,"Mopping, standing, light effort","การถูพื้น, การยืน, ออกแรงเล็กน้อย",adult
Home Activities,กิจกรรมภายในบ้าน,5024,4.5,"Polishing floors, standing, walking slowly, using electric polishing machine","การขัดพื้น, ยืน, เดินช้าๆ, ใช้เครื่องขัดพื้นไฟฟ้า",adult
Home Activities,กิจกรรมภายในบ้าน,5025,2.8,"Multiple household tasks all at once, light effort",ทำงานบ้านหลายอย่างพร้อมกันโดยใช้แรงน้อย,adult
Home Activities,กิจกรรมภายในบ้าน,5026,3.3,"Multiple household tasks all at once, moderate effort",ทำงานบ้านหลายอย่างพร้อมกัน ใช้แรงปานกลาง,adult
Home Activities,กิจกรรมภายในบ้าน,5027,4.3,"Multiple household tasks all at once, vigorous effort",ทำงานบ้านหลายอย่างพร้อมกัน ต้องใช้แรงอย่างมาก,adult
Home Activities,กิจกรรมภายในบ้าน,5030,3.3,"Cleaning, house or cabin, general, moderate effort",งานทำความสะอาดบ้านหรือกระท่อมทั่วไป ใช้แรงปานกลาง,adult
Home Activities,กิจกรรมภายในบ้าน,5032,2.5,"Dusting or polishing furniture, general",การปัดฝุ่นหรือขัดเงาเฟอร์นิเจอร์ทั่วไป,adult
Home Activities,กิจกรรมภายในบ้าน,5035,3.3,"Kitchen activity, general, (e.g., cooking, washing dishes, cleaning up) moderate effort",กิจกรรมในครัวทั่วไป (เช่น การทำอาหาร การล้างจาน การทำความสะอาด) ใช้แรงปานกลาง,adult
Home Activities,กิจกรรมภายในบ้าน,5040,2.5,"Cleaning, general (straightening up, changing linen, carrying out trash), light effort",งานทำความสะอาดทั่วไป (จัดระเบียบห้อง เปลี่ยนผ้าปูที่นอน ทิ้งขยะ) ใช้แรงน้อย,adult
Home Activities,กิจกรรมภายในบ้าน,5041,2,"Wash dishes, standing or in general (not broken into stand/walk components)",ล้างจานแบบยืนหรือแบบทั่วไป (ไม่ได้แบ่งเป็นส่วนยืน/เดิน),adult
Home Activities,กิจกรรมภายในบ้าน,5042,2,"Wash dishes, clearing dishes from table, walking, light effort",ล้างจาน เก็บจานชามจากโต๊ะ เดิน ใช้แรงเล็กน้อย,adult
Home Activities,กิจกรรมภายในบ้าน,5043,3,"Vacuuming, general, moderate effort",การดูดฝุ่นทั่วไป ใช้แรงปานกลาง,adult
Home Activities,กิจกรรมภายในบ้าน,5044,3,"Butchering animals, small",การชำแหละสัตว์ขนาดเล็ก,adult
Home Activities,กิจกรรมภายในบ้าน,5045,6,"Butchering animals, large, vigorous effort",การชำแหละสัตว์ เป็นงานที่ต้องใช้แรงกายอย่างมาก,adult
Home Activities,กิจกรรมภายในบ้าน,5046,2.3,"Cutting and smoking fish, drying fish or meat",การหั่นและรมควันปลา การตากแห้งปลาหรือเนื้อสัตว์,adult
Home Activities,กิจกรรมภายในบ้าน,5048,4,"Tanning hides, general",การฟอกหนังโดยทั่วไป,adult
Home Activities,กิจกรรมภายในบ้าน,5049,3.5,"Cooking or food preparation, moderate effort",การทำอาหารหรือการเตรียมอาหาร ต้องใช้ความพยายามปานกลาง,adult
Home Activities,กิจกรรมภายในบ้าน,5050,2,"Cooking or food preparation - standing or sitting or in general (not broken into stand/walk components), manual appliances,
light effort","การทำอาหารหรือการเตรียมอาหาร - โดยการยืน นั่ง หรือโดยทั่วไป (ไม่ได้แยกเป็นส่วนของการยืน/เดิน) เครื่องใช้แบบใช้มือ
ใช้แรงน้อย",adult
Home Activities,กิจกรรมภายในบ้าน,5051,2.3,"Cooking or food preparation, walking",การทำอาหารหรือการเตรียมอาหาร การเดิน,adult
Home Activities,กิจกรรมภายในบ้าน,5052,2.3,"Serving food, setting/cleaning table, implied walking or standing",การเสิร์ฟอาหาร การจัด/ทำความสะอาดโต๊ะอาหาร ซึ่งหมายถึงการเดินหรือยืน,adult
Home Activities,กิจกรรมภายในบ้าน,5053,2.5,Feeding household animals,การให้อาหารสัตว์ในบ้าน,adult
Home Activities,กิจกรรมภายในบ้าน,5054,3.5,"carrying groceries, on level ground, walking",ถือถุงของชำ เดินบนพื้นราบ,adult
Home Activities,กิจกรรมภายในบ้าน,5055,2.5,"Putting away groceries (e.g. carrying groceries, carrying packages)",การจัดเก็บของชำ (เช่น การถือของชำ การถือห่อของ),adult
Home Activities,กิจกรรมภายในบ้าน,5056,5.3,Carrying groceries upstairs,แบกของชำขึ้นบันได,adult
Home Activities,กิจกรรมภายในบ้าน,5057,3,Cooking Indian bread or other food on an outside stove,การทำขนมปังอินเดียหรืออาหารอื่นๆ บนเตาภายนอกอาคาร,adult
Home Activities,กิจกรรมภายในบ้าน,5060,3.3,Food shopping with or without a grocery cart; carrying a 10 lb bag; standing or walking,การซื้อของชำโดยใช้หรือไม่ใช้รถเข็น; การถือถุงหนัก 10 ปอนด์; การยืนหรือการเดิน,adult
Home Activities,กิจกรรมภายในบ้าน,5065,2.3,"Non-food shopping, with or without cart, standing or walking",ซื้อสินค้าที่ไม่ใช่อาหาร ไม่ว่าจะใช้รถเข็นหรือไม่ก็ตาม ยืนซื้อหรือเดินซื้อ,adult
Home Activities,กิจกรรมภายในบ้าน,5070,1.8,Ironing,การรีดผ้า,adult
Home Activities,กิจกรรมภายในบ้าน,5080,1.3,"Knitting, sewing, light effort, wrapping presents, sitting",การถักไหมพรม การเย็บปักถักร้อย การออกแรงเล็กน้อย การห่อของขวัญ การนั่ง,adult
Home Activities,กิจกรรมภายในบ้าน,5082,2.8,Sewing with a machine,การเย็บด้วยจักร,adult
Home Activities,กิจกรรมภายในบ้าน,5090,2.3,"Laundry, fold or hang clothes, put clothes in washer or dryer, packing suitcase, washing clothes by hand,  implied standing, light
effort","ซักผ้า พับหรือแขวนผ้า ใส่ผ้าลงเครื่องซักผ้าหรือเครื่องอบผ้า จัดกระเป๋าเดินทาง ซักผ้าด้วยมือ (โดยนัยคือยืน) ใช้แรงเล็กน้อย
",adult
Home Activities,กิจกรรมภายในบ้าน,5091,2,"Laundry, fold or hang clothes, sitting",ซักผ้า พับหรือตากผ้า นั่ง,adult
Home Activities,กิจกรรมภายในบ้าน,5092,4,"Laundry,  moderate effort",การซักผ้า (ระดับความพยายามปานกลาง),adult
Home Activities,กิจกรรมภายในบ้าน,5095,2,"Laundry,  putting away clothes, gathering clothes to pack, putting away laundry, implied walking",การซักผ้า การเก็บเสื้อผ้า การรวบรวมเสื้อผ้าเพื่อแพ็ค การเก็บผ้าที่ซักแล้ว การเดินโดยนัย,adult
Home Activities,กิจกรรมภายในบ้าน,5100,3,"Making bed, changing linens",จัดเตียง เปลี่ยนผ้าปูที่นอน,adult
Home Activities,กิจกรรมภายในบ้าน,5110,5,"Maple syruping/sugar bushing (including carrying buckets, carrying wood)",การเก็บน้ำเชื่อมเมเปิล/น้ำเชื่อมจากพุ่มไม้ (รวมถึงการแบกถังและการแบกฟืน),adult
Home Activities,กิจกรรมภายในบ้าน,5120,5.8,"Moving furniture, household items, carrying boxes",การขนย้ายเฟอร์นิเจอร์ ของใช้ในบ้าน และการยกกล่อง,adult
Home Activities,กิจกรรมภายในบ้าน,5121,5,"Moving, lifting light loads",การเคลื่อนย้าย การยกของเบาๆ,adult
Home Activities,กิจกรรมภายในบ้าน,5125,4.8,Organizing a room,การจัดห้อง,adult
Home Activities,กิจกรรมภายในบ้าน,5130,3.5,"Scrubbing floors, on hands and knees, scrubbing bathroom, bathtub, moderate effort",ขัดพื้นด้วยมือและเข่า ขัดห้องน้ำ ขัดอ่างอาบน้ำ ใช้แรงปานกลาง,adult
Home Activities,กิจกรรมภายในบ้าน,5131,2,"Scrubbing floors, on hands and knees, scrubbing bathroom, bathtub, light effort",ขัดพื้นด้วยมือและเข่า ขัดห้องน้ำ ขัดอ่างอาบน้ำ ใช้แรงไม่มาก,adult
Home Activities,กิจกรรมภายในบ้าน,5132,6.5,"Scrubbing floors, on hands and knees, scrubbing bathroom, bathtub, vigorous effort",ขัดพื้นด้วยมือและเข่า ขัดห้องน้ำ ขัดอ่างอาบน้ำ ออกแรงอย่างเต็มที่,adult
Home Activities,กิจกรรมภายในบ้าน,5140,3,"Sweeping garage, sidewalk, or outside house",กวาดโรงรถ ทางเท้า หรือบริเวณภายนอกบ้าน,adult
Home Activities,กิจกรรมภายในบ้าน,5146,3.8,"Standing, packing/unpacking boxes, occasional lifting lightweight household items, loading or unloading items into a car,
moderate effort","การยืน, การแพ็ค/แกะกล่อง, การยกของใช้ในบ้านที่มีน้ำหนักเบาเป็นครั้งคราว, การขนของขึ้นหรือลงจากรถ,
ใช้แรงปานกลาง",adult
Home Activities,กิจกรรมภายในบ้าน,5147,3,"Implied walking, putting away household items, moderate effort",การเดินโดยนัย การจัดเก็บสิ่งของในบ้าน การออกแรงปานกลาง,adult
Home Activities,กิจกรรมภายในบ้าน,5148,2,Watering  plants,รดน้ำต้นไม้,adult
Home Activities,กิจกรรมภายในบ้าน,5149,2.5,Building a fire inside,การก่อไฟภายในบ้าน,adult
Home Activities,กิจกรรมภายในบ้าน,5150,9,"Moving household items upstairs, carrying boxes or furniture",การขนย้ายสิ่งของในบ้านขึ้นไปชั้นบน การยกกล่องหรือเฟอร์นิเจอร์,adult
Home Activities,กิจกรรมภายในบ้าน,5160,2,"Standing, light effort tasks (pump gas, change light bulb, etc.)",งานที่ต้องใช้แรงน้อยและต้องยืน (เช่น เติมน้ำมัน เปลี่ยนหลอดไฟ เป็นต้น),adult
Home Activities,กิจกรรมภายในบ้าน,5165,3.5,"Walking, moderate effort tasks, non-cleaning (readying to leave, shut/lock doors, close windows, etc.",การเดิน การทำงานที่ต้องใช้แรงปานกลาง งานที่ไม่เกี่ยวกับการทำความสะอาด (เช่น เตรียมตัวออกจากบ้าน ปิด/ล็อคประตู ปิดหน้าต่าง เป็นต้น),adult
Home Activities,กิจกรรมภายในบ้าน,5170,2.3,"Sitting, playing with child(ren), light effort, only active periods",การนั่ง การเล่นกับเด็ก การออกแรงเบาๆ เฉพาะช่วงเวลาที่เคลื่อนไหวเท่านั้น,adult
Home Activities,กิจกรรมภายในบ้าน,5171,2.8,"Standing, playing with child(ren), light effort, only active periods",การยืน การเล่นกับเด็ก การออกแรงเบาๆ เฉพาะช่วงเวลาที่เคลื่อนไหวร่างกายเท่านั้น,adult
Home Activities,กิจกรรมภายในบ้าน,5175,3.5,"Walking/running, playing with child(ren), moderate effort, only active periods","การเดิน/วิ่ง, การเล่นกับเด็ก, การออกแรงปานกลาง, เฉพาะช่วงเวลาที่เคลื่อนไหวร่างกายเท่านั้น",adult
Home Activities,กิจกรรมภายในบ้าน,5180,5.8,"Walking/running, playing with child(ren), vigorous effort, only active periods","การเดิน/วิ่ง, การเล่นกับเด็ก, การออกแรงอย่างหนัก, เฉพาะช่วงเวลาที่เคลื่อนไหวร่างกายเท่านั้น",adult
Home Activities,กิจกรรมภายในบ้าน,5181,3,"Walking and carrying small child, child weighing 15 lbs or more",การเดินและอุ้มเด็กเล็ก น้ำหนัก 15 ปอนด์ขึ้นไป,adult
Home Activities,กิจกรรมภายในบ้าน,5182,2.5,"Walking and carrying small child, child weighing less than 15 lbs",การเดินและอุ้มเด็กเล็ก น้ำหนักเด็กน้อยกว่า 15 ปอนด์,adult
Home Activities,กิจกรรมภายในบ้าน,5183,2,"Standing, holding child",ยืนอยู่โดยอุ้มเด็กไว้,adult
Home Activities,กิจกรรมภายในบ้าน,5184,2.5,"Child care, infant, general",การดูแลเด็กเล็ก ทารก ทั่วไป,adult
Home Activities,กิจกรรมภายในบ้าน,5185,2,"Child care: sitting or kneeling, dressing, bathing, grooming, feeding, occasional lifting of child-light effort, general",การดูแลเด็ก: การนั่งหรือคุกเข่า การแต่งตัว การอาบน้ำ การดูแลสุขอนามัย การป้อนอาหาร การอุ้มเด็กเป็นครั้งคราว (ใช้แรงน้อย) ทั่วไป,adult
Home Activities,กิจกรรมภายในบ้าน,5186,3.5,"Child care: standing, dressing, bathing, grooming, feeding, occasional lifting of child- light effort",การดูแลเด็ก: การยืน การแต่งตัว การอาบน้ำ การดูแลสุขอนามัย การป้อนอาหาร การอุ้มเด็กเป็นครั้งคราว - ใช้แรงน้อย,adult
Home Activities,กิจกรรมภายในบ้าน,5188,1.5,Reclining with baby,นอนเอนกายกับลูกน้อย,adult
Home Activities,กิจกรรมภายในบ้าน,5189,2,"Breastfeeding, sitting or reclining",การให้นมบุตร การนั่ง หรือการนอน,adult
Home Activities,กิจกรรมภายในบ้าน,5190,2.5,"Sit, playing with animals, light, only active period",นั่ง เล่นกับสัตว์ แสงสว่าง เฉพาะช่วงเวลาที่เคลื่อนไหวเท่านั้น,adult
Home Activities,กิจกรรมภายในบ้าน,5191,2.8,"Stand, playing with animals, light effort, only active periods",การยืน การเล่นกับสัตว์ การออกแรงเบาๆ เฉพาะช่วงเวลาที่เคลื่อนไหวเท่านั้น,adult
Home Activities,กิจกรรมภายในบ้าน,5192,2.8,"Walk or run, playing with animals, general, light effort, only active periods",เดินหรือวิ่ง เล่นกับสัตว์ กิจกรรมทั่วไปที่ใช้แรงน้อย เฉพาะช่วงเวลาที่เคลื่อนไหวร่างกายเท่านั้น,adult
Home Activities,กิจกรรมภายในบ้าน,5193,4,"Walk/run, playing with animals, moderate effort, only active periods",เดิน/วิ่ง เล่นกับสัตว์ ออกแรงปานกลาง เฉพาะช่วงเวลาที่เคลื่อนไหวร่างกายเท่านั้น,adult
Home Activities,กิจกรรมภายในบ้าน,5194,5,"Walk/run, playing with animals, vigorous effort, only active periods",เดิน/วิ่ง เล่นกับสัตว์ ออกแรงอย่างหนัก เฉพาะช่วงเวลาที่เคลื่อนไหวเท่านั้น,adult
Home Activities,กิจกรรมภายในบ้าน,5195,3.5,"Standing, bathing dog",สุนัขยืนอาบน้ำ,adult
Home Activities,กิจกรรมภายในบ้าน,5197,2.3,"Animal care, household animals, general","การดูแลสัตว์, สัตว์เลี้ยงในบ้าน, ทั่วไป",adult
Home Activities,กิจกรรมภายในบ้าน,5200,3,"Elder care, disabled adult, bathing, dressing, moving into and out of bed, only active periods",การดูแลผู้สูงอายุ ผู้พิการ การอาบน้ำ การแต่งตัว การช่วยพยุงขึ้นและลงจากเตียง เฉพาะช่วงเวลาที่สามารถเคลื่อนไหวได้เอง,adult
Home Activities,กิจกรรมภายในบ้าน,5205,1.8,"Elder care, disabled adult, feeding, combing hair, light effort, only active periods","การดูแลผู้สูงอายุ, ผู้พิการ, การป้อนอาหาร, การหวีผม, งานเบา, เฉพาะช่วงเวลาที่ต้องเคลื่อนไหว",adult
Home Activities,กิจกรรมภายในบ้าน,5300,1.3,Handwashing,การล้างมือ,adult
Home Repair,ซ่อมแซมบ้าน,6010,3,Airplane repair,ซ่อมเครื่องบิน,adult
Home Repair,ซ่อมแซมบ้าน,6020,4,Automobile body work,งานซ่อมตัวถังรถยนต์,adult
Home Repair,ซ่อมแซมบ้าน,6030,3.3,"Automobile repair, light or moderate effort",งานซ่อมรถยนต์ (งานเบาถึงปานกลาง),adult
Home Repair,ซ่อมแซมบ้าน,6040,3,"Carpentry, general, workshop (Taylor Code 620)",งานช่างไม้ทั่วไป (รหัสเทย์เลอร์ 620),adult
Home Repair,ซ่อมแซมบ้าน,6050,6,"Carpentry, outside house, (Taylor Code 640)",งานไม้ภายนอกบ้าน (รหัสเทย์เลอร์ 640),adult
Home Repair,ซ่อมแซมบ้าน,6052,3.8,"Carpentry, outside house, building a fence",งานไม้ภายนอกบ้าน การสร้างรั้ว,adult
Home Repair,ซ่อมแซมบ้าน,6060,3.3,"Carpentry, finishing, varnishing, or refinishing cabinets or furniture",งานไม้ งานตกแต่ง งานเคลือบเงา หรือการซ่อมแซมตู้หรือเฟอร์นิเจอร์,adult
Home Repair,ซ่อมแซมบ้าน,6070,6,"Carpentry, sawing hardwood, planing and drilling wood, moderate-to-vigorous effort",งานช่างไม้ การเลื่อยไม้เนื้อแข็ง การไสและการเจาะไม้ ต้องใช้แรงปานกลางถึงแรงมาก,adult
Home Repair,ซ่อมแซมบ้าน,6072,4,"Carpentry, home remodeling tasks, moderate effort",งานช่างไม้ งานปรับปรุงบ้าน งานระดับปานกลาง,adult
Home Repair,ซ่อมแซมบ้าน,6074,2.3,"Carpentry, home remodeling tasks, light effort",งานช่างไม้ งานปรับปรุงบ้าน งานใช้แรงน้อย,adult
Home Repair,ซ่อมแซมบ้าน,6080,5,"Caulking, chinking log cabin",การอุดรอยรั่ว การยาแนวไม้ซุงในบ้านไม้ซุง,adult
Home Repair,ซ่อมแซมบ้าน,6090,4.5,"Caulking, except log cabin",การอุดรอยรั่ว ยกเว้นบ้านไม้ซุง,adult
Home Repair,ซ่อมแซมบ้าน,6100,5,Cleaning gutters,การทำความสะอาดรางน้ำ,adult
Home Repair,ซ่อมแซมบ้าน,6110,5,Excavating garage,ขุดโรงรถ,adult
Home Repair,ซ่อมแซมบ้าน,6120,5,Hanging storm windows,หน้าต่างกันพายุแบบแขวน,adult
Home Repair,ซ่อมแซมบ้าน,6122,5,Hanging sheet rock inside house,แผ่นยิปซัมแขวนภายในบ้าน,adult
Home Repair,ซ่อมแซมบ้าน,6124,3,Hammering nails,การตอกตะปู,adult
Home Repair,ซ่อมแซมบ้าน,6126,2.5,"Home repair, general, light effort",งานซ่อมแซมบ้านทั่วไป งานเบาๆ,adult
Home Repair,ซ่อมแซมบ้าน,6127,4.5,"Home repair, general, moderate effort",งานซ่อมแซมบ้านทั่วไป ระดับความยากปานกลาง,adult
Home Repair,ซ่อมแซมบ้าน,6128,6,"Home repair, general, vigorous effort",งานซ่อมแซมบ้านทั่วไป ทำด้วยความพยายามอย่างเต็มที่,adult
Home Repair,ซ่อมแซมบ้าน,6130,4.5,Laying or removing carpet,การปูหรือถอดพรม,adult
Home Repair,ซ่อมแซมบ้าน,6140,3.8,Laying tile or linoleum,การปูกระเบื้องหรือเสื่อน้ำมัน,adult
Home Repair,ซ่อมแซมบ้าน,6144,3,Repairing appliances,ซ่อมเครื่องใช้ไฟฟ้า,adult
Home Repair,ซ่อมแซมบ้าน,6150,5,"Painting, outside home (Taylor Code 650)",งานทาสีภายนอกบ้าน (รหัสเทย์เลอร์ 650),adult
Home Repair,ซ่อมแซมบ้าน,6160,3.3,"Painting inside house, wallpapering, scraping paint",ทาสีภายในบ้าน ติดวอลเปเปอร์ ขูดสี,adult
Home Repair,ซ่อมแซมบ้าน,6165,4.5,Painting (Taylor Code 630),งานทาสี (รหัสเทย์เลอร์ 630),adult
Home Repair,ซ่อมแซมบ้าน,6167,3,"Plumbing, general",งานประปาทั่วไป,adult
Home Repair,ซ่อมแซมบ้าน,6170,3,Put on and removal of tarp – sailboat,การคลุมและการถอดผ้าใบกันน้ำ – เรือใบ,adult
Home Repair,ซ่อมแซมบ้าน,6180,6,Roofing,หลังคา,adult
Home Repair,ซ่อมแซมบ้าน,6190,4.5,Sanding floors with a power sander,การขัดพื้นด้วยเครื่องขัดไฟฟ้า,adult
Home Repair,ซ่อมแซมบ้าน,6200,4.5,Scraping and painting sailboat or powerboat,การขูดและทาสีเรือใบหรือเรือยนต์,adult
Home Repair,ซ่อมแซมบ้าน,6205,2,Sharpening tools,เครื่องมือลับคม,adult
Home Repair,ซ่อมแซมบ้าน,6210,5,Spreading dirt with a shovel,การเกลี่ยดินด้วยพลั่ว,adult
Home Repair,ซ่อมแซมบ้าน,6220,4.5,Washing and waxing hull of sailboat or airplane,การล้างและขัดเงาตัวเรือใบหรือเครื่องบิน,adult
Home Repair,ซ่อมแซมบ้าน,6225,2,Washing and waxing car,การล้างและเคลือบสีรถ,adult
Home Repair,ซ่อมแซมบ้าน,6230,4.5,"Washing fence, painting fence, moderate effort",การล้างรั้ว การทาสีรั้ว (ต้องใช้ความพยายามปานกลาง),adult
Home Repair,ซ่อมแซมบ้าน,6240,3.3,"Wiring, tapping-splicing",การเดินสายไฟ การต่อสาย และการต่อพ่วง,adult
Inactivity,การไม่เคลื่อนไหว,7009,1,Lying quietly and watching television,นอนนิ่งๆ และดูโทรทัศน์,adult
Inactivity,การไม่เคลื่อนไหว,7011,1,"Lying quietly, doing nothing, lying in bed awake, listening to music (not talking or reading)",นอนนิ่งๆ ไม่ทำอะไรเลย นอนอยู่บนเตียงแต่ยังรู้สึกตัว ฟังเพลง (โดยไม่พูดหรืออ่านอะไร),adult
Inactivity,การไม่เคลื่อนไหว,7020,1,"Sit, watch television",นั่งดูโทรทัศน์,adult
Inactivity,การไม่เคลื่อนไหว,7021,1,"Sitting quietly, general",นั่งเงียบๆ นายพล,adult
Inactivity,การไม่เคลื่อนไหว,7022,1.5,"Sitting quietly, fidgeting, general, fidgeting hands",นั่งเงียบๆ กระสับกระส่าย มืออยู่ไม่สุข,adult
Inactivity,การไม่เคลื่อนไหว,7023,1.8,"Sitting, fidget feet",นั่งอยู่เฉยๆ เท้ากระดิกไปมา,adult
